train_id,distance_km,scheduled_speed_kmh,actual_speed_kmh,scheduled_time_min,actual_time_min,departure_time,scheduled_arrival,actual_arrival,actual_delay_min,predicted_delay_min
T052,70,71,68.04,59.15,61.73,07:58,08:57,08:59,2.58,2.47
T053,378,52,46.29,436.15,489.97,06:19,13:35,14:28,53.81,47.9
T054,216,85,81.66,152.47,158.7,06:58,09:30,09:36,6.23,5.98
T055,323,66,76.85,293.64,252.19,06:38,11:31,10:50,-41.44,-48.25
T056,437,88,93.38,297.95,280.78,08:16,13:13,12:56,-17.17,-18.22
T057,138,80,98.84,103.5,83.77,09:10,10:53,10:33,-19.73,-24.38
T058,365,56,54.1,391.07,404.82,10:05,16:36,16:49,13.75,13.29
T059,63,79,84.08,47.85,44.96,08:46,09:33,09:30,-2.89,-3.07
T060,291,70,75.51,249.43,231.21,06:17,10:26,10:08,-18.22,-19.65
T061,314,73,77.02,258.08,244.62,08:24,12:42,12:28,-13.46,-14.2
T062,395,99,111.04,239.39,213.44,06:53,10:52,10:26,-25.95,-29.11
T063,102,63,53.07,97.14,115.31,07:48,09:25,09:43,18.17,15.3
T064,435,84,84.62,310.71,308.43,10:40,15:50,15:48,-2.29,-2.3
T065,389,74,56.43,315.41,413.63,07:23,12:38,14:16,98.22,74.9
T066,141,87,80.97,97.24,104.48,08:46,10:23,10:30,7.24,6.74
T067,416,45,44.67,554.67,558.8,07:09,16:23,16:27,4.13,4.1
T068,493,58,63.3,510.0,467.32,08:38,17:08,16:25,-42.68,-46.58
T069,477,69,87.65,414.78,326.52,09:44,16:38,15:10,-88.26,-112.12
T070,313,46,48.78,408.26,385.01,09:19,16:07,15:44,-23.25,-24.66
T071,480,49,56.16,587.76,512.81,07:55,17:42,16:27,-74.95,-85.9
T072,84,80,80.3,63.0,62.76,07:28,08:31,08:30,-0.24,-0.24
T073,255,71,76.71,215.49,199.45,10:08,13:43,13:27,-16.05,-17.34
T074,130,73,54.21,106.85,143.89,08:42,10:28,11:05,37.04,27.51
T075,469,67,57.13,420.0,492.59,07:16,14:16,15:28,72.59,61.89
T076,99,99,90.79,60.0,65.42,06:08,07:08,07:13,5.42,4.97
T077,409,54,53.11,454.44,462.07,10:17,17:51,17:59,7.63,7.5
T078,437,69,50.19,380.0,522.42,10:48,17:08,19:30,142.42,103.59
T079,51,76,59.59,40.26,51.36,07:25,08:05,08:16,11.09,8.7
T080,439,68,58.89,387.35,447.24,07:51,14:18,15:18,59.89,51.87
T081,103,61,78.26,101.31,78.97,06:21,08:02,07:39,-22.34,-28.66
T082,155,43,38.65,216.28,240.63,07:22,10:58,11:22,24.35,21.89
T083,309,59,58.36,314.24,317.66,07:09,12:23,12:26,3.42,3.39
T084,359,71,58.05,303.38,371.04,06:09,11:12,12:20,67.66,55.32
T085,240,75,79.99,192.0,180.03,07:13,10:25,10:13,-11.97,-12.76
T086,451,89,77.29,304.04,350.12,08:43,13:47,14:33,46.07,40.01
T087,267,43,35.44,372.56,452.03,10:55,17:07,18:27,79.47,65.5
T088,93,66,66.66,84.55,83.71,09:27,10:51,10:50,-0.83,-0.84
T089,211,56,39.38,226.07,321.44,06:23,10:09,11:44,95.37,67.07
T090,251,51,35.93,295.29,419.1,08:51,13:46,15:50,123.8,87.23
T091,495,61,50.72,486.89,585.59,06:02,14:08,15:47,98.71,82.07
T092,319,56,40.43,341.79,473.37,07:59,13:40,15:52,131.58,95.01
T093,400,49,37.48,489.8,640.41,09:46,17:55,20:26,150.61,115.19
T094,353,93,84.01,227.74,252.12,08:37,12:24,12:49,24.38,22.02
T095,320,40,47.26,480.0,406.25,10:14,18:14,17:00,-73.75,-87.14
T096,264,61,63.64,259.67,248.91,10:16,14:35,14:24,-10.76,-11.23
T097,301,65,65.49,277.85,275.75,10:32,15:09,15:07,-2.1,-2.11
T098,239,95,83.23,150.95,172.3,06:45,09:15,09:37,21.35,18.7
T099,345,98,123.39,211.22,167.76,09:36,13:07,12:23,-43.46,-54.72
T100,262,57,53.48,275.79,293.95,09:45,14:20,14:38,18.16,17.04
T101,257,89,66.95,173.26,230.32,09:14,12:07,13:04,57.06,42.92
T102,286,53,56.72,323.77,302.52,06:47,12:10,11:49,-21.25,-22.74
T103,387,86,66.07,270.0,351.42,08:52,13:22,14:43,81.42,62.56
T104,416,68,61.69,367.06,404.64,08:24,14:31,15:08,37.58,34.09
T105,102,51,51.23,120.0,119.47,09:24,11:24,11:23,-0.53,-0.53
T106,329,75,91.84,263.2,214.94,10:54,15:17,14:28,-48.26,-59.1
T107,459,98,97.62,281.02,282.11,07:56,12:37,12:38,1.09,1.09
T108,266,74,82.98,215.68,192.33,08:45,12:20,11:57,-23.34,-26.17
T109,301,91,117.91,198.46,153.17,10:24,13:42,12:57,-45.29,-58.68
T110,237,51,39.72,278.82,357.97,08:49,13:27,14:46,79.15,61.65
T111,429,46,39.78,559.57,647.02,07:48,17:07,18:35,87.45,75.63
T112,90,68,63.7,79.41,84.77,08:24,09:43,09:48,5.36,5.02
T113,206,50,47.65,247.2,259.37,09:07,13:14,13:26,12.17,11.59
T114,64,72,68.16,53.33,56.34,08:17,09:10,09:13,3.01,2.85
T115,350,45,56.01,466.67,374.96,09:36,17:22,15:50,-91.7,-114.13
T116,114,86,97.04,79.53,70.48,08:57,10:16,10:07,-9.05,-10.21
T117,394,54,57.5,437.78,411.16,06:00,13:17,12:51,-26.62,-28.34
T118,376,71,62.88,317.75,358.78,07:14,12:31,13:12,41.04,36.34
T119,58,90,107.48,38.67,32.38,10:43,11:21,11:15,-6.29,-7.51
T120,393,50,63.65,471.6,370.45,09:31,17:22,15:41,-101.15,-128.76
T121,178,97,115.69,110.1,92.31,06:36,08:26,08:08,-17.79,-21.22
T122,185,62,43.46,179.03,255.42,11:00,13:59,15:15,76.39,53.54
T123,112,65,70.32,103.38,95.56,08:37,10:20,10:12,-7.82,-8.46
T124,188,73,53.34,154.52,211.47,07:53,10:27,11:24,56.95,41.62
T125,130,85,72.64,91.76,107.38,09:39,11:10,11:26,15.62,13.35
T126,441,73,53.71,362.47,492.67,09:39,15:41,17:51,130.21,95.79
T127,212,68,72.23,187.06,176.09,10:51,13:58,13:47,-10.97,-11.65
T128,468,43,47.81,653.02,587.28,09:45,20:38,19:32,-65.75,-73.11
T129,338,56,43.05,362.14,471.12,07:06,13:08,14:57,108.97,83.77
T130,428,74,68.84,347.03,373.03,08:29,14:16,14:42,26.0,24.19
T131,310,52,50.63,357.69,367.34,07:52,13:49,13:59,9.65,9.39
T132,280,80,73.71,210.0,227.91,10:27,13:57,14:14,17.91,16.5
T133,90,78,60.26,69.23,89.61,08:03,09:12,09:32,20.38,15.74
T134,77,54,51.37,85.56,89.93,10:05,11:30,11:34,4.37,4.16
T135,184,94,108.17,117.45,102.06,10:18,12:15,12:00,-15.38,-17.7
T136,250,68,50.5,220.59,297.05,06:02,09:42,10:59,76.46,56.78
T137,377,68,50.87,332.65,444.65,07:39,13:11,15:03,112.0,83.79
T138,317,50,45.64,380.4,416.71,07:28,13:48,14:24,36.31,33.15
T139,467,91,115.12,307.91,243.4,06:12,11:19,10:15,-64.51,-81.61
T140,82,71,78.18,69.3,62.93,09:35,10:44,10:37,-6.37,-7.01
T141,97,41,45.4,141.95,128.21,10:36,12:57,12:44,-13.74,-15.22
T142,456,86,78.88,318.14,346.88,06:42,12:00,12:28,28.74,26.36
T143,111,53,55.98,125.66,118.97,07:46,09:51,09:44,-6.69,-7.06
T144,265,59,41.66,269.49,381.67,10:42,15:11,17:03,112.18,79.21
T145,342,61,65.98,336.39,311.0,06:30,12:06,11:40,-25.4,-27.47
T146,148,50,62.4,177.6,142.31,06:25,09:22,08:47,-35.29,-44.04
T147,221,66,70.46,200.91,188.2,10:16,13:36,13:24,-12.71,-13.57
T148,409,42,51.42,584.29,477.27,10:33,20:17,18:30,-107.01,-131.01
T149,263,56,63.53,281.79,248.4,06:48,11:29,10:56,-33.38,-37.87
T150,84,83,64.1,60.72,78.62,09:39,10:39,10:57,17.9,13.82
T151,498,95,117.94,314.53,253.35,08:54,14:08,13:07,-61.18,-75.95
T152,276,67,49.57,247.16,334.07,08:17,12:24,13:51,86.9,64.3
T153,150,68,69.39,132.35,129.71,08:36,10:48,10:45,-2.64,-2.7
T154,480,60,47.12,480.0,611.25,10:01,18:01,20:12,131.25,103.06
T155,180,86,60.8,125.58,177.62,08:39,10:44,11:36,52.04,36.79
T156,306,55,52.43,333.82,350.2,06:23,11:56,12:13,16.38,15.62
T157,54,76,66.65,42.63,48.61,09:15,09:57,10:03,5.98,5.24
T158,267,98,97.18,163.47,164.85,10:44,13:27,13:28,1.38,1.37
T159,304,59,61.73,309.15,295.47,08:31,13:40,13:26,-13.69,-14.32
T160,447,45,32.68,596.0,820.66,07:44,17:40,21:24,224.66,163.16
T161,408,58,44.88,422.07,545.45,08:23,15:25,17:28,123.38,95.47
T162,332,96,99.38,207.5,200.45,06:23,09:50,09:43,-7.05,-7.3
T163,442,44,39.86,602.73,665.34,10:27,20:29,21:32,62.61,56.72
T164,256,42,47.78,365.71,321.51,09:19,15:24,14:40,-44.21,-50.29
T165,64,98,106.95,39.18,35.9,10:07,10:46,10:42,-3.28,-3.58
T166,395,40,48.29,592.5,490.74,10:32,20:24,18:42,-101.76,-122.86
T167,91,97,108.2,56.29,50.46,09:18,10:14,10:08,-5.83,-6.5
T168,429,99,94.84,260.0,271.41,09:41,14:01,14:12,11.41,10.93
T169,228,77,84.99,177.66,160.96,10:14,13:11,12:54,-16.7,-18.44
T170,112,54,46.72,124.44,143.83,06:58,09:02,09:21,19.38,16.77
T171,401,73,64.52,329.59,372.93,07:28,12:57,13:40,43.34,38.3
T172,280,74,86.83,227.03,193.48,06:21,10:08,09:34,-33.55,-39.36
T173,290,88,85.17,197.73,204.3,08:28,11:45,11:52,6.57,6.36
T174,101,64,75.46,94.69,80.31,06:45,08:19,08:05,-14.38,-16.95
T175,145,63,75.19,138.1,115.71,08:50,11:08,10:45,-22.38,-26.71
T176,437,51,61.94,514.12,423.3,07:49,16:23,14:52,-90.81,-110.3
T177,271,57,71.25,285.26,228.21,10:52,15:37,14:40,-57.05,-71.31
T178,456,54,51.76,506.67,528.55,09:05,17:31,17:53,21.89,20.98
T179,280,83,73.98,202.41,227.09,10:52,14:14,14:39,24.68,22.0
T180,286,55,57.71,312.0,297.34,09:33,14:45,14:30,-14.66,-15.39
T181,192,66,60.9,174.55,189.17,10:17,13:11,13:26,14.62,13.49
T182,220,47,49.85,280.85,264.79,09:16,13:56,13:40,-16.06,-17.03
T183,78,99,111.21,47.27,42.08,08:37,09:24,09:19,-5.19,-5.83
T184,85,85,94.61,60.0,53.91,09:23,10:23,10:16,-6.09,-6.78
T185,62,64,59.18,58.12,62.86,08:34,09:32,09:36,4.73,4.37
T186,209,56,44.81,223.93,279.87,06:50,10:33,11:29,55.94,44.76
T187,376,68,65.17,331.76,346.19,08:16,13:47,14:02,14.43,13.83
T188,236,92,72.27,153.91,195.93,08:16,10:49,11:31,42.02,33.01
T189,292,47,58.0,372.77,302.07,10:25,16:37,15:27,-70.7,-87.25
T190,135,54,49.01,150.0,165.28,06:19,08:49,09:04,15.28,13.87
T191,333,66,52.32,302.73,381.91,09:11,14:13,15:32,79.18,62.76
T192,115,85,60.8,81.18,113.49,10:44,12:05,12:37,32.31,23.11
T193,219,89,96.79,147.64,135.76,07:36,10:03,09:51,-11.88,-12.92
T194,94,91,98.47,61.98,57.27,10:31,11:32,11:28,-4.7,-5.09
T195,111,46,41.6,144.78,160.09,07:48,10:12,10:28,15.31,13.85
T196,490,42,31.21,700.0,942.09,10:55,22:35,02:37,242.09,179.88
T197,183,68,64.31,161.47,170.73,07:11,09:52,10:01,9.26,8.76
T198,333,83,73.6,240.72,271.47,10:28,14:28,14:59,30.75,27.27
T199,77,92,101.78,50.22,45.39,07:11,08:01,07:56,-4.82,-5.34
T200,157,63,67.0,149.52,140.6,06:34,09:03,08:54,-8.92,-9.49
T201,93,99,90.96,56.36,61.35,08:52,09:48,09:53,4.98,4.58
T202,389,97,80.58,240.62,289.65,06:57,10:57,11:46,49.03,40.73
T203,335,42,54.3,478.57,370.18,09:01,16:59,15:11,-108.4,-140.14
T204,495,59,57.37,503.39,517.68,06:42,15:05,15:19,14.29,13.89
T205,380,85,94.6,268.24,241.01,10:54,15:22,14:55,-27.23,-30.3
T206,177,54,42.35,196.67,250.74,09:11,12:27,13:21,54.08,42.41
T207,397,64,63.45,372.19,375.43,10:05,16:17,16:20,3.25,3.22
T208,280,69,49.44,243.48,339.81,10:10,14:13,15:49,96.33,69.02
T209,239,53,53.17,270.57,269.68,10:13,14:43,14:42,-0.88,-0.89
T210,274,46,58.81,357.39,279.56,07:04,13:01,11:43,-77.83,-99.5
T211,434,56,52.11,465.0,499.72,10:08,17:53,18:27,34.72,32.31
T212,426,83,60.04,307.95,425.7,08:48,13:55,15:53,117.75,85.18
T213,332,59,42.4,337.63,469.86,09:01,14:38,16:50,132.23,95.02
T214,495,75,69.96,396.0,424.53,06:04,12:40,13:08,28.53,26.61
T215,170,48,38.21,212.5,266.95,08:03,11:35,12:29,54.45,43.35
T216,165,77,54.98,128.57,180.07,10:34,12:42,13:34,51.5,36.77
T217,282,87,100.37,194.48,168.57,09:52,13:06,12:40,-25.91,-29.9
T218,308,96,93.61,192.5,197.41,08:46,11:58,12:03,4.91,4.79
T219,408,99,86.48,247.27,283.07,07:59,12:06,12:42,35.79,31.27
T220,247,61,75.64,242.95,195.92,10:13,14:15,13:28,-47.03,-58.32
T221,460,93,71.58,296.77,385.58,09:35,14:31,16:00,88.81,68.35
T222,186,92,117.17,121.3,95.25,09:43,11:44,11:18,-26.06,-33.18
T223,367,92,81.73,239.35,269.42,07:38,11:37,12:07,30.07,26.72
T224,214,41,50.55,313.17,253.98,06:30,11:43,10:43,-59.19,-72.98
T225,274,63,66.89,260.95,245.77,07:31,11:51,11:36,-15.18,-16.12
T226,356,47,56.21,454.47,379.98,10:09,17:43,16:28,-74.49,-89.09
T227,283,50,64.52,339.6,263.17,10:48,16:27,15:11,-76.43,-98.62
T228,221,52,45.4,255.0,292.08,06:30,10:45,11:22,37.08,32.37
T229,201,56,71.49,215.36,168.69,10:56,14:31,13:44,-46.67,-59.59
T230,364,47,43.88,464.68,497.68,08:38,16:22,16:55,33.0,30.81
T231,423,60,55.88,423.0,454.2,08:42,15:45,16:16,31.2,29.06
T232,209,57,51.54,220.0,243.3,10:55,14:35,14:58,23.3,21.07
T233,145,69,70.71,126.09,123.03,10:02,12:08,12:05,-3.06,-3.13
T234,282,57,45.17,296.84,374.57,09:53,14:49,16:07,77.73,61.6
T235,229,85,87.74,161.65,156.6,09:54,12:35,12:30,-5.05,-5.21
T236,162,86,88.15,113.02,110.26,10:47,12:40,12:37,-2.76,-2.83
T237,367,70,81.0,314.57,271.85,08:58,14:12,13:29,-42.72,-49.43
T238,491,77,92.41,382.6,318.78,09:24,15:46,14:42,-63.82,-76.59
T239,101,71,68.46,85.35,88.52,08:13,09:38,09:41,3.16,3.05
T240,317,50,44.07,380.4,431.59,09:47,16:07,16:58,51.19,45.12
T241,344,84,71.87,245.71,287.18,06:47,10:52,11:34,41.47,35.48
T242,435,64,52.27,407.81,499.3,10:46,17:33,19:05,91.48,74.72
T243,436,72,52.89,363.33,494.61,08:38,14:41,16:52,131.27,96.43
T244,162,99,89.64,98.18,108.43,09:46,11:24,11:34,10.25,9.28
T245,150,77,66.39,116.88,135.57,07:24,09:20,09:39,18.69,16.11
T246,162,80,102.39,121.5,94.93,09:25,11:26,10:59,-26.57,-34.0
T247,489,47,48.63,624.26,603.36,07:57,18:21,18:00,-20.89,-21.62
T248,130,50,45.42,156.0,171.74,08:32,11:08,11:23,15.74,14.29
T249,236,61,63.95,232.13,221.44,09:48,13:40,13:29,-10.69,-11.21
T250,162,90,70.52,108.0,137.84,10:47,12:35,13:04,29.84,23.38
T251,51,63,60.88,48.57,50.26,08:19,09:07,09:09,1.69,1.63
T252,179,80,86.06,134.25,124.8,06:29,08:43,08:33,-9.45,-10.17
T253,269,56,55.63,288.21,290.15,06:56,11:44,11:46,1.93,1.92
T254,103,51,47.99,121.18,128.76,10:11,12:12,12:19,7.59,7.14
T255,392,96,124.45,245.0,189.0,06:51,10:56,09:59,-56.0,-72.6
T256,273,85,104.4,192.71,156.9,07:56,11:08,10:32,-35.8,-43.97
T257,274,71,76.26,231.55,215.59,09:17,13:08,12:52,-15.96,-17.14
T258,434,54,56.25,482.22,462.95,06:57,14:59,14:39,-19.27,-20.07
T259,452,55,58.98,493.09,459.8,10:49,19:02,18:28,-33.29,-35.7
T260,175,93,76.33,112.9,137.55,06:51,08:43,09:08,24.65,20.23
T261,179,61,57.16,176.07,187.89,09:57,12:53,13:04,11.82,11.08
T262,102,67,48.49,91.34,126.22,07:49,09:20,09:55,34.88,25.24
T263,221,59,58.13,224.75,228.09,08:23,12:07,12:11,3.35,3.3
T264,267,72,73.86,222.5,216.9,08:36,12:18,12:12,-5.6,-5.74
T265,209,49,41.0,255.92,305.88,10:57,15:12,16:02,49.97,41.8
T266,247,79,100.99,187.59,146.74,09:46,12:53,12:12,-40.85,-52.23
T267,465,71,88.44,392.96,315.46,06:27,12:59,11:42,-77.5,-96.54
T268,296,89,100.86,199.55,176.08,10:23,13:42,13:19,-23.47,-26.6
T269,373,99,100.98,226.06,221.62,10:08,13:54,13:49,-4.44,-4.53
T270,488,72,87.98,406.67,332.79,08:33,15:19,14:05,-73.87,-90.27
T271,252,41,31.91,368.78,473.77,06:47,12:55,14:40,104.99,81.72
T272,233,72,84.55,194.17,165.35,10:17,13:31,13:02,-28.82,-33.84
T273,172,72,55.79,143.33,184.97,09:30,11:53,12:34,41.64,32.27
T274,450,80,94.12,337.5,286.86,08:57,14:34,13:43,-50.64,-59.58
T275,304,52,45.0,350.77,405.3,07:30,13:20,14:15,54.53,47.19
T276,343,69,84.61,298.26,243.23,06:00,10:58,10:03,-55.03,-67.48
T277,329,72,91.18,274.17,216.49,06:40,11:14,10:16,-57.68,-73.04
T278,374,52,41.04,431.54,546.75,07:11,14:22,16:17,115.21,90.93
T279,421,91,88.96,277.58,283.94,08:14,12:51,12:57,6.36,6.22
T280,147,65,83.76,135.69,105.3,10:05,12:20,11:50,-30.39,-39.16
T281,247,61,60.39,242.95,245.39,07:39,11:41,11:44,2.44,2.42
T282,444,78,95.01,341.54,280.38,10:50,16:31,15:30,-61.16,-74.5
T283,289,41,43.18,422.93,401.55,06:21,13:23,13:02,-21.38,-22.52
T284,193,77,71.24,150.39,162.55,10:02,12:32,12:44,12.16,11.25
T285,146,78,67.97,112.31,128.87,09:16,11:08,11:24,16.56,14.43
T286,250,65,53.43,230.77,280.76,09:52,13:42,14:32,49.99,41.09
T287,173,85,98.35,122.12,105.54,07:54,09:56,09:39,-16.58,-19.18
T288,236,97,90.4,145.98,156.64,08:36,11:01,11:12,10.66,9.94
T289,375,89,89.6,252.81,251.11,07:12,11:24,11:23,-1.7,-1.71
T290,398,54,53.75,442.22,444.27,09:11,16:33,16:35,2.05,2.04
T291,308,73,76.38,253.15,241.93,06:46,10:59,10:47,-11.22,-11.74
T292,197,81,98.77,145.93,119.68,08:51,11:16,10:50,-26.25,-32.01
T293,301,94,121.11,192.13,149.12,09:55,13:07,12:24,-43.01,-55.42
T294,492,83,78.4,355.66,376.54,08:31,14:26,14:47,20.88,19.72
T295,469,88,105.29,319.77,267.25,06:37,11:56,11:04,-52.52,-62.84
T296,452,79,91.54,343.29,296.27,08:14,13:57,13:10,-47.02,-54.49
T297,395,50,52.21,474.0,453.97,09:55,17:49,17:28,-20.03,-20.91
T298,196,42,53.49,280.0,219.84,06:11,10:51,09:50,-60.16,-76.62
T299,197,98,80.39,120.61,147.04,07:49,09:49,10:16,26.42,21.68
T300,401,45,34.45,534.67,698.4,08:23,17:17,20:01,163.73,125.35
T301,248,48,58.19,310.0,255.7,08:17,13:27,12:32,-54.3,-65.84
T302,357,45,43.36,476.0,494.04,06:00,13:56,14:14,18.04,17.38
T303,466,48,57.99,582.5,482.13,06:34,16:16,14:36,-100.37,-121.27
T304,473,78,96.4,363.85,294.41,06:04,12:07,10:58,-69.44,-85.81
T305,177,70,51.62,151.71,205.72,10:36,13:07,14:01,54.01,39.83
T306,88,71,87.34,74.37,60.46,08:33,09:47,09:33,-13.91,-17.11
T307,387,80,77.52,290.25,299.54,10:16,15:06,15:15,9.29,9.0
T308,409,89,89.56,275.73,274.02,07:22,11:57,11:56,-1.72,-1.73
T309,178,51,54.87,209.41,194.63,07:13,10:42,10:27,-14.78,-15.91
T310,316,47,59.02,403.4,321.23,08:36,15:19,13:57,-82.18,-103.2
T311,490,47,33.44,625.53,879.21,10:42,21:07,01:21,253.68,180.48
T312,483,89,87.76,325.62,330.21,07:53,13:18,13:23,4.59,4.52
T313,200,67,74.55,179.1,160.97,09:18,12:17,11:58,-18.13,-20.17
T314,464,59,66.88,471.86,416.24,08:31,16:22,15:27,-55.62,-63.05
T315,347,86,95.93,242.09,217.02,08:04,12:06,11:41,-25.07,-27.97
T316,148,98,76.5,90.61,116.07,07:04,08:34,09:00,25.46,19.87
T317,312,46,40.46,406.96,462.64,09:07,15:53,16:49,55.68,48.98
T318,301,50,45.76,361.2,394.66,08:29,14:30,15:03,33.46,30.62
T319,193,59,69.78,196.27,165.96,10:00,13:16,12:45,-30.31,-35.85
T320,395,55,47.7,430.91,496.86,06:37,13:47,14:53,65.96,57.2
T321,161,43,35.54,224.65,271.84,09:20,13:04,13:51,47.18,38.99
T322,109,45,57.35,145.33,114.03,10:34,12:59,12:28,-31.3,-39.89
T323,418,97,68.42,258.56,366.58,08:20,12:38,14:26,108.03,76.19
T324,51,61,79.22,50.16,38.63,07:14,08:04,07:52,-11.54,-14.98
T325,434,65,71.9,400.62,362.19,07:06,13:46,13:08,-38.43,-42.5
T326,353,42,50.28,504.29,421.26,10:28,18:52,17:29,-83.02,-99.39
T327,303,80,70.14,227.25,259.19,08:10,11:57,12:29,31.94,28.0
T328,189,99,70.15,114.55,161.65,10:23,12:17,13:04,47.11,33.38
T329,86,81,92.56,63.7,55.75,07:41,08:44,08:36,-7.96,-9.09
T330,209,53,63.63,236.6,197.09,07:40,11:36,10:57,-39.51,-47.44
T331,58,50,57.21,69.6,60.82,08:34,09:43,09:34,-8.78,-10.04
T332,282,57,44.79,296.84,377.8,08:22,13:18,14:39,80.96,63.61
T333,148,93,107.14,95.48,82.88,06:00,07:35,07:22,-12.6,-14.52
T334,196,51,59.23,230.59,198.55,10:33,14:23,13:51,-32.04,-37.21
T335,353,62,67.9,341.61,311.94,06:10,11:51,11:21,-29.67,-32.5
T336,257,51,59.14,302.35,260.72,08:55,13:57,13:15,-41.63,-48.28
T337,180,52,62.79,207.69,171.99,10:38,14:05,13:29,-35.7,-43.11
T338,453,64,68.36,424.69,397.59,06:03,13:07,12:40,-27.1,-28.95
T339,201,84,63.27,143.57,190.62,06:14,08:37,09:24,47.05,35.44
T340,103,90,89.33,68.67,69.18,09:49,10:57,10:58,0.51,0.51
T341,169,97,72.42,104.54,140.02,07:08,08:52,09:28,35.48,26.49
T342,210,58,54.78,217.24,230.0,06:38,10:15,10:28,12.76,12.05
T343,457,94,88.76,291.7,308.92,06:49,11:40,11:57,17.22,16.26
T344,165,85,62.87,116.47,157.48,06:45,08:41,09:22,41.01,30.33
T345,124,75,68.2,99.2,109.1,09:39,11:18,11:28,9.9,9.0
